name,distance,planet_type,discovery_year,mass,radius 
K2-288 B b,214.0,Super Earth,2018,8.105015099999999e+27,82537.9
K2-332 b,402.0,Neptune-like,2016,1.0401752400000002e+28,95570.20000000001
K2-72 e,217.0,Super Earth,2016,4.1948673e+27,56038.89
Kepler-1229 b,866.0,Super Earth,2016,4.8212502e+27,60817.399999999994
Kepler-1410 b,1197.0,Super Earth,2016,7.2508566e+27,77324.98
Kepler-1544 b,1093.0,Super Earth,2016,7.2508566e+27,77324.98
Kepler-1606 b,2712.0,Super Earth,2016,9.376762200000001e+27,89922.87
Kepler-1638 b,4976.0,Super Earth,2016,7.8962208e+27,81234.67
Kepler-1649 c,301.0,Super Earth,2020,2.2777559999999998e+27,46047.46
Kepler-1652 b,822.0,Super Earth,2017,6.0550347e+27,69505.6
Kepler-1653 b,2463.0,Neptune-like,2017,1.01549955e+28,94266.97
Kepler-1701 b,1905.0,Neptune-like,2020,1.0572584100000001e+28,96525.902
Kepler-174 d,1255.0,Neptune-like,2014,1.03068459e+28,95135.79
Kepler-186 f,579.0,Super Earth,2014,3.2458023e+27,50825.969999999994
Kepler-283 c,1527.0,Super Earth,2014,7.5355761e+27,79062.62000000001
Kepler-296 e,545.0,Super Earth,2014,5.6184648e+27,66464.73
Kepler-296 f,545.0,Super Earth,2014,7.3837257e+27,78193.8
Kepler-440 b,982.0,Super Earth,2015,7.8202956e+27,80800.26000000001
Kepler-442 b,1194.0,Super Earth,2015,4.4795867999999995e+27,58210.94
Kepler-452 b,1800.0,Super Earth,2015,6.2448477e+27,70808.83
Kepler-62 e,981.0,Super Earth,2013,6.833268e+28,69940.01000000001
Kepler-62 f,981.0,Super Earth,2013,6.643455e+28,61251.81
Kepler-705 b,903.0,Neptune-like,2016,9.680462999999999e+27,91660.51
LHS 1140 b,49.0,Super Earth,2017,1.21100694e+28,71026.035
LP 890-9 c,106.0,Super Earth,2022,4.8022689e+28,59383.847
Proxima Centauri b,4.0,Super Earth,2016,2.0309991e+27,44744.23
Ross 128 b,11.0,Super Earth,2017,2.657382e+27,48219.51
Ross 508 b,37.0,Super Earth,2022,7.59252e+27,79497.03
Teegarden's Star b,12.0,Super Earth,2019,1.9930365e+27,44309.82
Teegarden's Star c,12.0,Super Earth,2019,2.1069243000000002e+27,45178.64
TOI-2257 b,189.0,Neptune-like,2021,1.03448085e+28,95309.554
TRAPPIST-1 d,41.0,Terrestrial,2016,7.3647444e+26,34231.508
TRAPPIST-1 e,41.0,Terrestrial,2017,1.31350596e+27,39965.72
TRAPPIST-1 f,41.0,Super Earth,2017,1.9721570699999998e+27,45395.844999999994
TRAPPIST-1 g,41.0,Super Earth,2017,2.50742973e+27,49044.889
Wolf 1061 c,14.0,Super Earth,2015,6.4726233e+27,72112.06